user-id,timestamp,accX,accY,accZ,ActivityEncoded
20,2249952983000,2.96,10.57,-0.53119355,Downstairs
20,2250002483000,6.51,10.5,5.434519,Downstairs
20,2250053020000,3.34,9.28,-0.27240697,Downstairs
20,2250102489000,4.1,5.05,-0.7218784,Downstairs
20,2250153026000,0.95,5.6,-1.1168685,Downstairs
20,2250202525000,0.42,7.7,-1.2258313,Downstairs
20,2250253734000,1.18,9.34,0.95342433,Downstairs
20,2250302623000,8.08,7.35,0.88532263,Downstairs
20,2250352306000,12.53,15.36,5.47538,Downstairs
20,2250402507000,7.97,16.47,4.140586,Downstairs
20,2250452983000,2.49,8.54,3.1054392,Downstairs
20,2250502513000,4.44,7.55,2.3018389,Downstairs
20,2250553020000,0.15,5.28,0.84446156,Downstairs
20,2250602519000,1.18,2.79,0.53119355,Downstairs
20,2250653056000,2.98,5.71,0.38136974,Downstairs
20,2250702586000,1.73,9.66,5.09401,Downstairs
20,2250752269000,3.68,5.83,1.607201,Downstairs
20,2250802440000,5.05,7.12,1.4165162,Downstairs
20,2250852977000,5.28,8.58,3.486809,Downstairs
20,2250902446000,5.01,14.1,4.7943625,Downstairs
20,2250952922000,4.6,12.34,-1.1168685,Downstairs
20,2251002452000,8.69,13.8,-1.1849703,Downstairs
20,2251052989000,0.84,13.87,-3.255263,Downstairs
20,2251102489000,4.02,10.23,0.88532263,Downstairs
20,2251152995000,3.26,7.12,-0.61291564,Downstairs
20,2251202495000,3.38,7.63,1.0760075,Downstairs
20,2251253001000,4.86,7.7,1.7297841,Downstairs
20,2251302501000,2.79,5.67,-0.0,Downstairs
20,2251352885000,1.88,5.28,-0.9942854,Downstairs
20,2251402354000,5.33,7.89,-1.3075534,Downstairs
20,2251452830000,6.55,7.31,-0.5720546,Downstairs
20,2251502818000,5.86,8.08,1.7570249,Downstairs
20,2251552775000,11.22,15.32,4.6036777,Downstairs
20,2251602306000,6.7,15.94,3.336985,Downstairs
20,2251652751000,4.06,9.58,2.9556155,Downstairs
20,2251702281000,1.88,7.06,2.6832085,Downstairs
20,2251752635000,0.84,7.06,1.0760075,Downstairs
20,2251802287000,0.53,4.1,0.14982383,Downstairs
20,2251852611000,3.11,5.43,-0.040861044,Downstairs
20,2251902263000,4.1,8.92,3.173541,Downstairs
20,2251952556000,5.41,6.97,3.5276701,Downstairs
20,2252002269000,4.79,5.86,0.92618364,Downstairs
20,2252052501000,4.67,8.81,3.718355,Downstairs
20,2252102946000,6.51,10.92,3.2961242,Downstairs
20,2252152415000,4.48,13.67,-2.4108016,Downstairs
20,2252202983000,7.5,16.36,1.607201,Downstairs
20,2252252421000,1.12,12.03,-4.5900574,Downstairs
20,2252302928000,4.37,11.03,-0.8036005,Downstairs
20,2252352397000,3.53,7.16,-0.42223078,Downstairs
20,2252402965000,2.49,8.39,0.19068487,Downstairs
20,2252452464000,4.79,9.43,0.53119355,Downstairs
20,2252502971000,5.71,8.08,0.50395286,Downstairs
20,2252552470000,4.9,6.97,0.3405087,Downstairs
20,2252602977000,3.99,5.24,-0.9942854,Downstairs
20,2252652446000,2.64,6.02,-1.4982382,Downstairs
20,2252702983000,3.57,10.15,-0.14982383,Downstairs
20,2252752483000,4.48,5.83,0.27240697,Downstairs
20,2252803050000,7.31,8.28,2.9556155,Downstairs
20,2252852550000,10.23,16.09,4.671779,Downstairs
20,2252903026000,6.28,14.82,3.5276701,Downstairs
20,2252952556000,2.64,7.06,2.152015,Downstairs
20,2253002269000,4.18,8.05,3.0645783,Downstairs
20,2253052470000,0.46,6.4,0.92618364,Downstairs
20,2253102977000,1.61,3.83,-0.14982383,Downstairs
20,2253152507000,1.42,7.82,3.1463003,Downstairs
20,2253202983000,3.57,8.58,4.7535014,Downstairs
20,2253262309000,5.6,5.33,2.6423476,Downstairs
20,2253312358000,7.27,6.51,2.2609777,Downstairs
20,2253362285000,7.25,6.89,2.9556155,Downstairs
20,2253412273000,3.64,15.28,-1.1441092,Downstairs
20,2253462260000,4.48,15.09,2.2609777,Downstairs
20,2253512279000,3.87,13.76,-3.336985,Downstairs
20,2253562266000,3.76,13.02,-3.3642259,Downstairs
20,2253612285000,5.56,8.01,0.3405087,Downstairs
20,2253662242000,2.26,7.82,0.6946377,Downstairs
20,2253712291000,2.41,6.85,0.46309182,Downstairs
20,2253762279000,4.44,6.47,1.2666923,Downstairs
20,2253812297000,3.91,6.59,0.61291564,Downstairs
20,2253862315000,1.99,2.96,-1.7297841,Downstairs
20,2253912242000,6.78,7.97,-0.08172209,Downstairs
20,2253962260000,6.7,6.13,3.0237172,Downstairs
20,2254012279000,9.77,10.99,3.445948,Downstairs
20,2254062266000,7.4,17.77,-0.9125633,Downstairs
20,2254112346000,6.32,15.89,0.08172209,Downstairs
20,2254212108000,1.76,11.56,0.313268,Downstairs
20,2254212108000,1.76,11.56,0.313268,Downstairs
20,2254262248000,-2.11,7.4,2.6423476,Downstairs
20,2254312266000,2.15,8.12,5.134871,Downstairs
20,2254362285000,1.65,6.21,2.982856,Downstairs
20,2254412273000,8.47,7.21,-1.7297841,Downstairs
20,2254462230000,14.9,7.21,-3.9090397,Downstairs
20,2254512279000,5.41,8.58,2.7921712,Downstairs
20,2254562236000,-0.84,14.37,3.7864566,Downstairs
20,2254612315000,1.61,11.75,-0.14982383,Downstairs
20,2254662273000,0.99,7.27,-3.7864566,Downstairs
20,2254712260000,2.41,10.53,-2.9556155,Downstairs
20,2254762279000,3.21,9.43,-1.334794,Downstairs
20,2254812266000,4.14,8.89,2.7649305,Downstairs
20,2254862285000,2.49,9.51,-1.1849703,Downstairs
20,2254912273000,2.45,9.47,-1.7570249,Downstairs
20,2254962321000,2.87,9.23,-0.9125633,Downstairs
20,2255012279000,3.72,9.47,-1.334794,Downstairs
20,2255062327000,4.29,9.53,-1.1441092,Downstairs
20,2255112285000,4.63,9.43,-0.7218784,Downstairs
20,2255162303000,6.13,11.99,-2.2201166,Downstairs
20,2255212260000,8.08,10.92,1.1849703,Downstairs
20,2255262279000,5.6,10.0,2.070293,Downstairs
20,2255312236000,0.08,13.18,-2.1111538,Downstairs
