user-id,timestamp,accX,accY,accZ,ActivityEncoded
26,1993032329000,-6.66,6.93,0.65,Downstairs
26,1993082347000,-1.04,6.13,1.33,Downstairs
26,1993132304000,3.64,6.32,1.5,Downstairs
26,1993182323000,1.08,10.42,-0.08,Downstairs
26,1993232341000,1.73,9.51,-3.02,Downstairs
26,1993282329000,-0.27,11.45,0.5,Downstairs
26,1993332347000,-0.89,19.08,-0.84,Downstairs
26,1993382335000,-2.72,11.3,-0.04,Downstairs
26,1993432292000,-3.41,12.37,-2.14,Downstairs
26,1993482341000,-2.11,8.73,-2.56,Downstairs
26,1993532329000,-0.08,5.75,-1.57,Downstairs
26,1993582347000,1.84,7.46,-1.27,Downstairs
26,1993632335000,2.76,10.15,-0.84,Downstairs
26,1993682323000,3.68,11.07,-1.23,Downstairs
26,1993682323000,3.68,11.07,-1.23,Downstairs
26,1993790355000,5.52,9.72,-1.92,Downstairs
26,1993842540000,-9.04,13.82,-0.53,Downstairs
26,1993892253000,-6.97,10.38,0.5,Downstairs
26,1993942332000,1.92,9.51,-0.84,Downstairs
26,1993992870000,4.67,14.33,-1.38,Downstairs
26,1994042308000,2.72,8.77,-1.65,Downstairs
26,1994092296000,2.07,0.89,-0.34,Downstairs
26,1994142314000,2.3,2.18,-0.53,Downstairs
26,1994192332000,-1.31,19.5,-5.71,Downstairs
26,1994242320000,-2.41,11.8,0.31,Downstairs
26,1994292339000,-4.21,10.69,0.93,Downstairs
26,1994342326000,-4.71,10.31,-2.49,Downstairs
26,1994392345000,2.11,5.56,-6.24,Downstairs
26,1994442302000,7.86,8.28,-6.02,Downstairs
26,1994492290000,5.41,8.89,9.34,Downstairs
26,1994542339000,-6.47,14.29,-2.56,Downstairs
26,1994592357000,-6.32,12.68,-2.45,Downstairs
26,1994642345000,1.31,9.85,-0.61,Downstairs
26,1994702251000,5.09,13.4,-0.99,Downstairs
26,1994752299000,3.53,8.01,-1.23,Downstairs
26,1994802318000,2.3,0.31,-1.53,Downstairs
26,1994852306000,3.64,7.46,-0.08,Downstairs
26,1994902293000,-5.52,19.34,-9.19,Downstairs
26,1994952312000,-1.69,8.92,0.42,Downstairs
26,1995002330000,-5.13,12.87,2.07,Downstairs
26,1995002330000,-5.13,12.87,2.07,Downstairs
26,1995072765000,-1.99,9.58,-2.53,Downstairs
26,1995122264000,4.44,4.56,-2.11,Downstairs
26,1995172313000,5.01,3.87,2.18,Downstairs
26,1995222301000,-3.06,10.61,-2.41,Downstairs
26,1995282298000,-9.34,15.79,0.31,Downstairs
26,1995332286000,0.19,11.22,0.5,Downstairs
26,1995382304000,2.6,13.87,-0.95,Downstairs
26,1995432231000,3.17,7.35,-1.53,Downstairs
26,1995482310000,2.18,-1.12,-1.57,Downstairs
26,1995532298000,3.79,4.56,2.96,Downstairs
26,1995582317000,-3.11,19.46,-5.9,Downstairs
26,1995632304000,-2.14,8.62,0.93,Downstairs
26,1995682353000,-4.02,13.38,-0.84,Downstairs
26,1995732310000,-2.41,9.47,-4.63,Downstairs
26,1995782298000,4.63,5.37,-1.92,Downstairs
26,1995832286000,1.14,-0.34,5.24,Downstairs
26,1995882304000,-3.17,5.41,-5.13,Downstairs
26,1995932292000,-8.01,16.13,-1.73,Downstairs
26,1995982310000,2.91,12.11,5.37,Downstairs
26,1996032298000,3.34,11.3,-2.37,Downstairs
26,1996082347000,1.08,1.18,0.89,Downstairs
26,1996132335000,0.76,7.93,1.84,Downstairs
26,1996182323000,-1.5,18.81,-3.11,Downstairs
26,1996232371000,-2.18,7.5,-0.15,Downstairs
26,1996282329000,-1.88,9.51,-1.88,Downstairs
26,1996332622000,0.5,15.28,-2.83,Downstairs
26,1996382335000,4.9,9.08,-3.26,Downstairs
26,1996432292000,6.93,6.36,2.6,Downstairs
26,1996482341000,2.87,18.09,-3.06,Downstairs
26,1996532329000,-6.17,19.57,-8.16,Downstairs
26,1996582347000,-8.58,11.37,-1.92,Downstairs
26,1996632335000,-9.58,8.96,4.1,Downstairs
26,1996682323000,-7.35,3.76,-1.5,Downstairs
26,1996732341000,-2.68,4.79,5.86,Downstairs
26,1996782329000,5.9,12.41,-7.35,Downstairs
26,1996832378000,2.3,10.38,-3.3,Downstairs
26,1996882335000,-1.31,18.85,0.04,Downstairs
26,1996932323000,-5.9,8.92,4.02,Downstairs
26,1996982341000,-2.53,7.74,-3.87,Downstairs
26,1997032329000,-4.06,11.96,-3.15,Downstairs
26,1997082347000,-1.31,7.74,-3.87,Downstairs
26,1997132304000,-0.34,7.74,-5.98,Downstairs
26,1997182323000,-1.61,11.11,-0.23,Downstairs
26,1997232341000,-3.64,11.99,5.63,Downstairs
26,1997282329000,-0.34,9.58,-4.06,Downstairs
